type,layer,block,x,y
INSERT,C-AXIS,_AXISO,-5419739.929051794,-9694974.611427927
INSERT,C-AXIS,_AXISO,-5392483.94176995,-9702590.460513357
INSERT,C-AXIS,_AXISO,-5390846.656314859,-9703047.949681034
INSERT,C-AXIS,_AXISO,-5361953.383577922,-9711121.287934139
INSERT,C-AXIS,_AXISO,-5333252.732659231,-9719140.803932225
INSERT,C-AXIS,_AXISO,-5556488.821390104,-9647611.68110002
INSERT,C-AXIS,_AXISO,-5551860.107458319,-9631046.204730841
INSERT,C-AXIS,_AXISO,-5553612.093186419,-9657568.144061823
INSERT,ARGRID,A1034D1,-5556770.913292041,-9552838.985099706
INSERT,ARGRID,A1034D1,-5299508.048012247,-9622862.578558423
INSERT,ARGRID,A1034D1,-5566236.283950943,-9587174.846581019
INSERT,ARGRID,A1034D1,-5309202.997098366,-9658031.241348865
INSERT,ARGRID,A1034D1,-5531658.266457167,-9606450.797350884
INSERT,ARGRID,A1034D1,-5565093.528751031,-9583029.474395912
INSERT,ARGRID,A1034D1,-5563937.485699959,-9578835.900208648
INSERT,ARGRID,A1034D1,-5562994.048267478,-9575413.558055826
INSERT,ARGRID,A1034D1,-5562183.489346608,-9572473.235924524
INSERT,ARGRID,A1034D1,-5558840.133115802,-9560345.130162955
INSERT,ARGRID,A1034D1,-5559783.570548287,-9563767.472315772
INSERT,ARGRID,A1034D1,-5559783.570548287,-9563767.472315772
INSERT,ARGRID,A1034D1,-5560594.129469154,-9566707.794447074
INSERT,ARGRID,A1034D1,-5557684.090064729,-9556151.555975691
INSERT,ARGRID,A1034D1,-5507780.922670941,-9613033.067302366
INSERT,ARGRID,A1034D1,-5519719.594564054,-9609741.932326626
INSERT,ARGRID,A1034D1,-5497240.105102149,-9615938.85562544
INSERT,ARGRID,A1034D1,-5494444.388977306,-9616709.550992819
INSERT,ARGRID,A1034D1,-5495842.251013999,-9616324.20221354
INSERT,ARGRID,A1034D1,-5483903.57888471,-9619615.337253845
INSERT,ARGRID,A1034D1,-5471964.906991594,-9622906.472229587
INSERT,ARGRID,A1034D1,-5460026.235098479,-9626197.60720533
INSERT,ARGRID,A1034D1,-5448087.563205367,-9629488.742181072
INSERT,ARGRID,A1034D1,-5434751.029511732,-9633165.225871525
INSERT,ARGRID,A1034D1,-5437546.745636573,-9632394.530504146
INSERT,ARGRID,A1034D1,-5436148.891548426,-9632779.87709225
INSERT,ARGRID,A1034D1,-5424210.219419135,-9636071.012132555
INSERT,ARGRID,A1034D1,-5412271.547526018,-9639362.147108299
INSERT,ARGRID,A1034D1,-5400332.875632906,-9642653.282084037
INSERT,ARGRID,A1034D1,-5388394.20373979,-9645944.417059782
INSERT,ARGRID,A1034D1,-5377853.386170998,-9648850.205382856
INSERT,ARGRID,A1034D1,-5375057.670046157,-9649620.900750234
INSERT,ARGRID,A1034D1,-5376455.53208285,-9649235.551970955
INSERT,ARGRID,A1034D1,-5364516.859953563,-9652526.687011265
INSERT,ARGRID,A1034D1,-5352578.188060446,-9655817.821987001
INSERT,ARGRID,A1034D1,-5340639.516167329,-9659108.956962745
INSERT,ARGRID,A1034D1,-5328700.844274213,-9662400.091938483
INSERT,ARGRID,A1034D1,-5308060.241898455,-9653885.869163756
INSERT,ARGRID,A1034D1,-5306904.198847387,-9649692.294976494
INSERT,ARGRID,A1034D1,-5305960.761414902,-9646269.952823669
INSERT,ARGRID,A1034D1,-5305150.202494032,-9643329.63069237
INSERT,ARGRID,A1034D1,-5301806.846263231,-9631201.524930796
INSERT,ARGRID,A1034D1,-5302750.283695711,-9634623.86708362
INSERT,ARGRID,A1034D1,-5302750.283695711,-9634623.86708362
INSERT,ARGRID,A1034D1,-5303560.842616579,-9637564.189214918
INSERT,ARGRID,A1034D1,-5300650.803212156,-9627007.950743534
INSERT,AXIS,_AXISO,-5497007.211415393,-9447408.502716688
INSERT,AXIS,_AXISO,-5489684.942646452,-9449031.58006403
INSERT,AXIS,_AXISO,-5484315.27888257,-9450221.836785409
INSERT,AXIS,_AXISO,-5478457.463867418,-9451520.29866329
INSERT,AXIS,_AXISO,-5471135.195098484,-9453143.376010629
INSERT,AXIS,_AXISO,-5463324.775078282,-9454874.658514455
INSERT,AXIS,_AXISO,-5455514.355058084,-9456605.941018288
INSERT,AXIS,_AXISO,-5447703.935037886,-9458337.223522125
INSERT,AXIS,_AXISO,-5439893.515017685,-9460068.506025951
INSERT,AXIS,_AXISO,-5432083.094997486,-9461799.788529784
INSERT,AXIS,_AXISO,-5424272.674977286,-9463531.071033616
INSERT,AXIS,_AXISO,-5416462.254957089,-9465262.353537445
INSERT,AXIS,_AXISO,-5408651.834936887,-9466993.636041276
INSERT,AXIS,_AXISO,-5402485.438554219,-9476141.683344502
INSERT,AXIS,_AXISO,-5394675.01853402,-9477872.965848334
INSERT,AXIS,_AXISO,-5386864.598513814,-9479604.248352162
INSERT,AXIS,_AXISO,-5371536.649224172,-9483001.890265935
INSERT,AXIS,_AXISO,-5363726.229203979,-9484733.172769759
INSERT,AXIS,_AXISO,-5355915.809183776,-9486464.455273596
INSERT,AXIS,_AXISO,-5348105.389163584,-9488195.737777424
INSERT,AXIS,_AXISO,-5340294.969143379,-9489927.020281253
INSERT,AXIS,_AXISO,-5332972.700374443,-9491550.097628598
INSERT,AXIS,_AXISO,-5325162.280354244,-9493281.380132426
INSERT,AXIS,_AXISO,-5317351.860334042,-9495012.662636257
INSERT,AXIS,_AXISO,-5309541.440313844,-9496743.945140087
INSERT,AXIS,_AXISO,-5301731.020293646,-9498475.22764392
INSERT,AXIS,_AXISO,-5293920.600273448,-9500206.510147755
INSERT,AXIS,_AXISO,-5285622.029001988,-9502045.997808073
INSERT,AXIS,_AXISO,-5278299.76023305,-9503669.075155414
INSERT,AXIS,_AXISO,-5270489.34021285,-9505400.357659247
