type,layer,x,y,text
TEXT,PUB_TEXT,-5548110.081297783,-9836764.241046816,0.5m
TEXT,DIM_LEAD,-5547468.503974088,-9840810.983106399,预埋
TEXT,DIM_LEAD,-5547497.623192033,-9840403.511619362,D3=159
TEXT,DIM_LEAD,-5547572.774173699,-9839351.907750357,人防密闭套管管中心距顶板
TEXT,DIM_LEAD,-5547747.489481363,-9836907.078828131,0.5m
TEXT,DIM_LEAD,-5547111.571070234,-9840780.496785239,预埋
TEXT,DIM_LEAD,-5547140.690288179,-9840373.025298204,D3=273
TEXT,DIM_LEAD,-5547218.28520421,-9839287.222929394,人防密闭套管管中心距顶板
TEXT,DIM_LEAD,-5547393.000511872,-9836842.394007168,0.5m
TEXT,PUB_TEXT,-5537849.161102928,-9838167.049761345,预埋
TEXT,PUB_TEXT,-5537881.237741443,-9837718.194451404,%%c114
TEXT,PUB_TEXT,-5537921.249127385,-9837158.306512165,钢套管
TEXT,PUB_TEXT,-5538510.905181546,-9838043.658728164,200
TEXT,PUB_TEXT,-5538541.29357593,-9837618.427381901,宽横截沟
TEXT,PUB_TEXT,-5541567.536348025,-9852817.419194847,吊装门扇用
TEXT,PUB_TEXT,-5541642.381837897,-9851770.090138323,%%c20
TEXT,PUB_TEXT,-5541670.271630965,-9851379.82225831,吊环
TEXT,PUB_TEXT,-5548732.551398916,-9807554.531550094,集水坑
TEXT,PUB_TEXT,-5548777.45869284,-9806926.13411618,2000X1500X1500(H)
TEXT,PUB_TEXT,-5549242.124270493,-9801144.020478778,114
TEXT,PUB_TEXT,-5549279.190608334,-9800625.343231738,钢套管
TEXT,PUB_TEXT,-5544724.649751916,-9800606.654451494,塑钢爬梯
TEXT,PUB_TEXT,-5544003.123417438,-9801228.676147159,预埋
TEXT,PUB_TEXT,-5544037.095838372,-9800753.292745616,DN100
TEXT,PUB_TEXT,-5544107.664443109,-9799765.811063748,铸铁排水管接至集水坑
TEXT,PUB_TEXT,-5536293.042957835,-9810407.150948707,预埋
TEXT,PUB_TEXT,-5536325.119596352,-9809958.29563877,D2=%%c127
TEXT,PUB_TEXT,-5536399.064689353,-9808923.566029537,柔性防水套管（
TEXT,PUB_TEXT,-5536511.332924161,-9807352.572444749,B
TEXT,PUB_TEXT,-5536521.968862195,-9807203.741473557,型）
TEXT,PUB_TEXT,-5536021.603837554,-9809155.052493473,管中心距室外地坪
TEXT,PUB_TEXT,-5536149.910391619,-9807359.631253708,1.0m
TEXT,PUB_TEXT,-5540547.164322425,-9807059.034749851,下工作点
TEXT,PUB_TEXT,-5542272.997291051,-9807179.037101509,下工作点
TEXT,PUB_TEXT,-5542020.652220696,-9800625.846218288,吊钩
TEXT,PUB_TEXT,-5553500.082763901,-9843991.091903447,5
TEXT,PUB_TEXT,-5526020.887620352,-9842080.38090286,5
TEXT,PUB_TEXT,-5555654.26152749,-9813010.426276612,6
TEXT,PUB_TEXT,-5528175.06638394,-9811099.715276023,6
TEXT,PUB_TEXT,-5552830.913581098,-9853614.855283996,3
TEXT,PUB_TEXT,-5525351.718437549,-9851704.144283409,3
TEXT,PUB_TEXT,-5553232.35010624,-9847841.531841211,4
TEXT,PUB_TEXT,-5525753.154962688,-9845930.820840624,4
TEXT,PUB_TEXT,-5538746.819758975,-9860903.612580987,1
TEXT,PUB_TEXT,-5547825.053149558,-9739895.575247635,1
TEXT,PUB_TEXT,-5533292.407274671,-9860085.02322737,2
TEXT,PUB_TEXT,-5541456.416226262,-9739559.086798148,2
TEXT,PUB_TEXT,-5548852.094129269,-9818279.266785738,特级防火卷帘
TEXT,PUB_TEXT,-5539182.995050365,-9837431.4783668,上
TEXT,PUB_TEXT,-5539901.514524717,-9838775.247054373,下
TEXT,PUB_TEXT,-5549014.65857519,-9803591.822377525,140
TEXT,PUB_TEXT,-5549054.576169789,-9803033.24688071,钢套管
TEXT,PUB_TEXT,-5542067.99925259,-9794639.28593641,吊装门扇用
TEXT,PUB_TEXT,-5542150.647533141,-9793450.666501616,%%c20
TEXT,PUB_TEXT,-5542191.573190636,-9792862.087627922,吊环
TEXT,PUB_TEXT,-5549189.185500823,-9794102.094540924,预埋
TEXT,PUB_TEXT,-5549222.244813043,-9793626.646767005,1
TEXT,PUB_TEXT,-5549233.343296431,-9793467.032157192,根
TEXT,PUB_TEXT,-5549249.872952543,-9793229.30827023,D3=219
TEXT,PUB_TEXT,-5549335.192543589,-9792002.270957279,防护密闭套管
TEXT,PUB_TEXT,-5549434.37048025,-9790575.927635522,(GPS)
TEXT,PUB_TEXT,-5545300.519104207,-9795537.291747034,预埋
TEXT,PUB_TEXT,-5545333.578416427,-9795061.843973115,6
TEXT,PUB_TEXT,-5545347.451520665,-9794862.325710845,根
TEXT,PUB_TEXT,-5545363.981176773,-9794624.601823887,DN80
TEXT,PUB_TEXT,-5545421.554559352,-9793796.601035468,、
TEXT,PUB_TEXT,-5545438.084215462,-9793558.877148511,12
TEXT,PUB_TEXT,-5545463.055803087,-9793199.744276426,根
TEXT,PUB_TEXT,-5545479.585459197,-9792962.020389468,DN50
TEXT,PUB_TEXT,-5545537.158841775,-9792134.01960105,热镀锌钢管（
TEXT,PUB_TEXT,-5545636.336778436,-9790707.6762793,DZ
TEXT,PUB_TEXT,-5545664.776642119,-9790298.663841646,）（双排布置）
TEXT,PUB_TEXT,-5548104.764881405,-9794233.223168166,预埋
TEXT,PUB_TEXT,-5548137.824193627,-9793757.775394251,6
TEXT,PUB_TEXT,-5548151.697297863,-9793558.25713198,根
TEXT,PUB_TEXT,-5548168.226953972,-9793320.533245022,DN50
TEXT,PUB_TEXT,-5548225.800336551,-9792492.532456604,热镀锌密闭钢管
TEXT,PUB_TEXT,-5548341.507929324,-9790828.465247892,(FAS/BAS)
TEXT,PUB_TEXT,-5544620.61420019,-9793959.45596422,预埋
TEXT,PUB_TEXT,-5544653.67351241,-9793484.008190302,8
TEXT,PUB_TEXT,-5544667.546616645,-9793284.48992803,根
TEXT,PUB_TEXT,-5544684.076272756,-9793046.766041072,DN80
TEXT,PUB_TEXT,-5544741.649655335,-9792218.765252657,热镀锌密闭钢管（
TEXT,PUB_TEXT,-5544873.886904217,-9790316.974156985,TX
TEXT,PUB_TEXT,-5544900.245802265,-9789937.889458673,）双排布置
TEXT,PUB_TEXT,-5538363.610075291,-9794934.902346492,预埋
TEXT,PUB_TEXT,-5538396.66938751,-9794459.454572573,1
TEXT,PUB_TEXT,-5538407.767870899,-9794299.839962759,根
TEXT,PUB_TEXT,-5538424.297527011,-9794062.116075799,D3=219
TEXT,PUB_TEXT,-5538509.617118059,-9792835.078762847,防护密闭套管
TEXT,PUB_TEXT,-5538608.795054723,-9791408.735441091,(GPS)
TEXT,PUB_TEXT,-5545696.321604163,-9855079.351617204,预埋
TEXT,PUB_TEXT,-5545725.440822105,-9854671.880130164,2
TEXT,PUB_TEXT,-5545737.660493921,-9854500.887631141,根
TEXT,PUB_TEXT,-5545752.220102895,-9854297.151887621,DN50
TEXT,PUB_TEXT,-5545802.93174093,-9853587.533016668,、
TEXT,PUB_TEXT,-5545817.491349902,-9853383.797273151,2
TEXT,PUB_TEXT,-5545829.711021717,-9853212.804774127,根
TEXT,PUB_TEXT,-5545844.270630689,-9853009.069030605,DN100
TEXT,PUB_TEXT,-5545904.758006177,-9852162.656160432,热镀锌密闭钢管（人防电气）
TEXT,PUB_TEXT,-5536289.53513997,-9829856.689626868,预埋
TEXT,PUB_TEXT,-5536321.611778488,-9829407.834316933,%%c114
TEXT,PUB_TEXT,-5536361.623164427,-9828847.946377688,钢套管
TEXT,PUB_TEXT,-5537206.506050985,-9828857.852509521,贴底预留
TEXT,PUB_TEXT,-5537266.382442884,-9828019.989264298,100x200
TEXT,PUB_TEXT,-5537331.143487803,-9827113.774017497,过水孔
TEXT,PUB_TEXT,-5547471.117123871,-9846455.546722642,预埋
TEXT,PUB_TEXT,-5547500.236341816,-9846048.075235602,2
TEXT,PUB_TEXT,-5547512.456013631,-9845877.082736578,根
TEXT,PUB_TEXT,-5547527.015622603,-9845673.346993057,DN50
TEXT,PUB_TEXT,-5547577.727260638,-9844963.728122104,热镀锌钢管（
TEXT,PUB_TEXT,-5547665.084914472,-9843741.31366099,DZ
TEXT,PUB_TEXT,-5547690.135241692,-9843390.779037992,）
TEXT,PUB_TEXT,-5554613.233125861,-9777835.884950228,栏杆做法详见通用图
TEXT,PUB_TEXT,-5546743.322533544,-9850396.412335143,预埋
TEXT,PUB_TEXT,-5546772.44175149,-9849988.940848104,2
TEXT,PUB_TEXT,-5546784.661423305,-9849817.94834908,根
TEXT,PUB_TEXT,-5546799.221032276,-9849614.212605562,DN50
TEXT,PUB_TEXT,-5546849.932670312,-9848904.59373461,热镀锌密闭钢管
TEXT,PUB_TEXT,-5546951.849933115,-9847478.443529977,(FAS/BAS)
TEXT,PUB_TEXT,-5541331.715929145,-9794471.078306598,预埋
TEXT,PUB_TEXT,-5541364.775241365,-9793995.63053268,1
TEXT,PUB_TEXT,-5541375.873724753,-9793836.015922863,根
TEXT,PUB_TEXT,-5541392.403380865,-9793598.292035904,DN200
TEXT,PUB_TEXT,-5541463.849867677,-9792570.77298522,防护密闭套管
TEXT,PUB_TEXT,-5541563.027804341,-9791144.429663464,(HK)
TEXT,PUB_TEXT,-5543704.51990467,-9793899.626650583,预埋
TEXT,PUB_TEXT,-5543737.57921689,-9793424.178876664,2
TEXT,PUB_TEXT,-5543751.452321125,-9793224.660614397,根
TEXT,PUB_TEXT,-5543767.981977236,-9792986.936727439,DN100
TEXT,PUB_TEXT,-5543836.653843202,-9791999.321329207,、
TEXT,PUB_TEXT,-5543853.183499313,-9791761.597442246,2
TEXT,PUB_TEXT,-5543867.056603549,-9791562.079179978,根
TEXT,PUB_TEXT,-5543883.586259657,-9791324.355293021,DN50(
TEXT,PUB_TEXT,-5543950.870815202,-9790356.691721015,人防电气
TEXT,PUB_TEXT,-5544016.989439644,-9789405.796173182,)
TEXT,PUB_TEXT,-5544026.700612609,-9789266.133389588,套管
TEXT,PUB_TEXT,-5542664.481642645,-9846203.840721988,吊装门扇用
TEXT,PUB_TEXT,-5542739.327132517,-9845156.511665463,%%c20
TEXT,PUB_TEXT,-5542767.216925585,-9844766.243785452,吊环
ATTRIB,WINDOW_TEXT,-5523502.470159728,-9709801.592470979,
TEXT,PUB_TEXT,-5531153.06623214,-9733747.653728331,-5.105
TEXT,PUB_TEXT,-5541021.973816682,-9803054.87143482,上
TEXT,PUB_TEXT,-5542747.806800872,-9803174.873787581,上
TEXT,PUB_TEXT,-5544379.161854291,-9817810.095182641,9
TEXT,PUB_TEXT,-5546691.303112409,-9794109.691504994,9
TEXT,PUB_TEXT,-5535736.436966385,-9838083.470142599,吊装门扇用
TEXT,PUB_TEXT,-5535811.282456259,-9837036.141086072,%%c20
TEXT,PUB_TEXT,-5535839.172249325,-9836645.873206061,吊环
TEXT,PUB_TEXT,-5534978.586993743,-9838712.128593,预埋
TEXT,PUB_TEXT,-5535007.706211688,-9838304.657105963,4
TEXT,PUB_TEXT,-5535019.925883505,-9838133.664606937,根
TEXT,PUB_TEXT,-5535034.485492475,-9837929.928863418,DN25
TEXT,PUB_TEXT,-5535085.197130511,-9837220.309992465,热镀锌钢管（
TEXT,PUB_TEXT,-5535172.554784343,-9835997.895531354,DZ
TEXT,PUB_TEXT,-5535197.605111563,-9835647.36090835,）
TEXT,PUB_TEXT,-5550711.843405075,-9798890.321193814,8
TEXT,PUB_TEXT,-5536701.872165354,-9797624.268836791,8
