method,occupant_name,exit_time_s,congestion_time_total_s,distance_m
Pathfinder Goto Any Exit,57920,169.525,0.2,0
Pathfinder Goto Any Exit,57921,63.8,0.175,0
Pathfinder Goto Any Exit,57922,148.525,0.475,0
Pathfinder Goto Any Exit,57923,136.4,16.375,0
Pathfinder Goto Any Exit,57924,130.375,0.175,0
Pathfinder Goto Any Exit,57925,62.825,0.175,0
Pathfinder Goto Any Exit,57926,135.125,0.175,0
Pathfinder Goto Any Exit,57927,66.575,0.175,0
Pathfinder Goto Any Exit,57928,121.0,5.05,0
Pathfinder Goto Any Exit,57929,105.175,0.3,0
Pathfinder Goto Any Exit,57930,112.35,0.175,0
Pathfinder Goto Any Exit,57931,112.575,0.175,0
Pathfinder Goto Any Exit,57932,59.65,0.175,0
Pathfinder Goto Any Exit,57933,61.75,16.625,0
Pathfinder Goto Any Exit,57934,140.55,0.175,0
Pathfinder Goto Any Exit,57935,143.45,0.175,0
Pathfinder Goto Any Exit,57936,127.275,0.175,0
Pathfinder Goto Any Exit,57937,65.05,0.175,0
Pathfinder Goto Any Exit,57938,141.025,0.175,0
Pathfinder Goto Any Exit,57939,147.6,4.925,0
Pathfinder Goto Any Exit,57940,131.4,0.175,0
Pathfinder Goto Any Exit,57941,93.75,0.175,0
Pathfinder Goto Any Exit,57942,133.775,2.525,0
Pathfinder Goto Any Exit,57943,129.85,0.175,0
Pathfinder Goto Any Exit,57944,136.75,0.175,0
Pathfinder Goto Any Exit,57945,125.025,0.175,0
Pathfinder Goto Any Exit,57946,116.225,0.175,0
Pathfinder Goto Any Exit,57947,120.975,0.175,0
Pathfinder Goto Any Exit,57948,142.5,0.175,0
Pathfinder Goto Any Exit,57949,111.3,0.175,0
Pathfinder Goto Any Exit,57950,133.925,0.175,0
Pathfinder Goto Any Exit,57951,142.9,0.175,0
Pathfinder Goto Any Exit,57952,142.625,2.125,0
Pathfinder Goto Any Exit,57953,143.55,0.175,0
Pathfinder Goto Any Exit,57954,114.925,9.0,0
Pathfinder Goto Any Exit,57955,151.025,4.875,0
Pathfinder Goto Any Exit,57956,116.75,0.175,0
Pathfinder Goto Any Exit,57957,126.175,0.45,0
Pathfinder Goto Any Exit,57958,133.125,0.175,0
Pathfinder Goto Any Exit,57959,129.85,0.175,0
Pathfinder Goto Any Exit,57960,103.575,0.175,0
Pathfinder Goto Any Exit,57961,65.625,0.175,0
Pathfinder Goto Any Exit,57962,140.2,0.175,0
Pathfinder Goto Any Exit,57963,115.175,0.175,0
Pathfinder Goto Any Exit,57964,145.125,3.85,0
Pathfinder Goto Any Exit,57965,127.125,1.35,0
Pathfinder Goto Any Exit,57966,63.05,23.275,0
Pathfinder Goto Any Exit,57967,130.575,2.425,0
Pathfinder Goto Any Exit,57968,62.25,0.175,0
Pathfinder Goto Any Exit,57969,102.875,0.175,0
Pathfinder Goto Any Exit,57970,149.425,0.2,0
Pathfinder Goto Any Exit,57971,139.2,0.175,0
Pathfinder Goto Any Exit,57972,53.675,4.75,0
Pathfinder Goto Any Exit,57973,56.575,12.95,0
Pathfinder Goto Any Exit,57974,62.325,14.75,0
Pathfinder Goto Any Exit,57975,111.55,8.525,0
Pathfinder Goto Any Exit,57976,145.9,2.475,0
Pathfinder Goto Any Exit,57977,109.375,0.175,0
Pathfinder Goto Any Exit,57978,138.525,0.175,0
Pathfinder Goto Any Exit,57979,138.0,14.425,0
Pathfinder Goto Any Exit,57980,140.525,0.175,0
Pathfinder Goto Any Exit,57981,117.625,10.55,0
Pathfinder Goto Any Exit,57982,145.825,0.175,0
Pathfinder Goto Any Exit,57983,117.175,0.175,0
Pathfinder Goto Any Exit,57984,120.85,0.175,0
Pathfinder Goto Any Exit,57985,143.95,9.0,0
Pathfinder Goto Any Exit,57986,142.4,0.275,0
Pathfinder Goto Any Exit,57987,137.3,0.175,0
Pathfinder Goto Any Exit,57988,64.65,21.575,0
Pathfinder Goto Any Exit,57989,130.0,14.85,0
Pathfinder Goto Any Exit,57990,153.775,0.175,0
Pathfinder Goto Any Exit,57991,146.775,0.175,0
Pathfinder Goto Any Exit,57992,142.45,5.725,0
Pathfinder Goto Any Exit,57993,115.3,0.175,0
Pathfinder Goto Any Exit,57997,118.575,0.175,0
Pathfinder Goto Any Exit,57998,58.925,0.175,0
